id,open_for_business,city,state,wifi,drive_thru,door_dash,email,phone_number,fax_number,location_map_address,location_map_lat,location_map_lng,address_one,address_two,zip_code,near_by,hours_monday_open,hours_monday_close,hours_tuesday_open,hours_tuesday_close,hours_wednesday_open,hours_wednesday_close,hours_thursday_open,hours_thursday_close,hours_friday_open,hours_friday_close,hours_saturday_open,hours_saturday_close,hours_sunday_open,hours_sunday_close
74a3a60f-7c74-49e9-8e8c-0a953d087b4e,False,Troy,MI,True,True,True,store1156@unclejoescoffee.com,,,1860 E. Big Beaver Rd. Troy MI 48083,42.5629065,-83.1103907,1860 E. Big Beaver Rd.,,48083,Troy; 1860 E. Big Beaver Rd.,,,,,,,,,,,,,,
15040675-4981-4b76-81f9-970e599b5604,False,Clarkston,MI,True,True,True,store1150@unclejoescoffee.com,,,7450 Dixie Highway Clarkston MI 48346,42.7282880,-83.4359420,7450 Dixie Highway,,48346,Clarkston; 7450 Dixie Highway,,,,,,,,,,,,,,
708694fd-1a47-4918-9869-dffd0fa3e612,False,New Carlisle,IN,True,True,True,store1182@unclejoescoffee.com,,,483 E Michigan St. New Carlisle IN 46552,41.7091110,-86.4996193,483 E Michigan St.,,46552,New Carlisle; 483 E Michigan Ave.,,,,,,,,,,,,,,
6ca19571-bf56-4f38-9b9a-e3f0793f82a3,False,Belleville,MI,True,True,True,store1188@unclejoescoffee.com,,,11824 Belleville Rd. Belleville MI 48111,42.2147063,-83.4870798,11824 Belleville Rd.,,48111,Belleville; 11824 Belleville Rd.,,,,,,,,,,,,,,
09490fce-7e3a-4935-8e17-c8bb13bd5fd3,False,Gladwin,MI,True,True,True,store1154@unclejoescoffee.com,,,1247 E Cedar Ave Gladwin MI 48624,43.9811158,-84.4692340,1247 E Cedar Ave,,48624,Gladwin; 1247 E Cedar Ave,,,,,,,,,,,,,,
8fef4f56-165e-4c9a-8444-a22b034c8684,False,Orion Township,MI,True,True,True,store1160@unclejoescoffee.com,,,303 Stillwater Dr. Orion Township MI 48359,42.7367052,-83.2458966,303 Stillwater Dr.,,48359,3030 S. Lapeer Rd.; Orion Township,,,,,,,,,,,,,,
b73bcb02-3bd0-47bd-bdad-20d556d3bba3,True,East Dundee,IL,True,True,True,store1189@unclejoescoffee.com,,,1011 East Main St. Unit A East Dundee IL 60118,42.0907186,-88.2490886,1011 East Main St.,Unit A,60118,1011 East Main St; East Dundee,430,2100,430,2100,430,2100,430,2100,430,2100,430,2100,600,2100
430e14fe-6b1d-41fd-b094-362fab4a3806,False,Florence,KY,True,True,True,store1146@unclejoescoffee.com,,,202 Mt Zion Rd. Florence KY 41042,38.9572644,-84.6241065,202 Mt Zion Rd.,,41042,Florence; 202 Mt Zion Rd.,,,,,,,,,,,,,,
b671ec59-4c16-4619-ab1f-049d003690aa,False,Milwaukee,WI,True,True,True,store1250@unclejoescoffee.com,,,920 North Water St. Milwaukee WI 53202,43.0430120,-87.9097981,920 North Water St.,,53202,Milwaukee; 920 North Water St.,,,,,,,,,,,,,,
2bceba87-6314-4491-ae08-214b76daaf21,False,Bellefontaine,OH,True,True,True,store1097@unclejoescoffee.com,,,170 Augusta Dr. Bellefontaine OH 43311,40.3341476,-83.7597791,170 Augusta Dr.,,43311,,,,,,,,,,,,,,,
2d34c70c-8472-43f1-8655-7f2265501124,False,Warsaw,IN,True,True,True,store1098@unclejoescoffee.com,,,Corner of Parker St and US30 Warsaw IN 46580,41.2467647,-85.8229623,Corner of Parker St and US30,,46580,,,,,,,,,,,,,,,
14f3679a-d363-4f10-a365-e2bd42fbb274,False,Greenwood,IN,True,True,True,store1129@unclejoescoffee.com,,,718 N. US 31 Greenwood IN 46142,,,718 N. US 31,,46142,Greenwood; 718 N. US 31,,,,,,,,,,,,,,
0a4c002c-eaa9-4fb4-b78b-9834bbc936a7,False,Rockford,MI,True,True,True,store1041@unclejoescoffee.com,,,6870 Old Town Square NE Rockford MI 49431,,,6870 Old Town Square NE,,49431,Rockford; 6870 Old Town Square NE,,,,,,,,,,,,,,
f86dc7b5-9683-476a-8c2e-a5d8e7d812b7,False,Fort Wayne,IN,True,True,True,store1184@unclejoescoffee.com,,,8605 Bluffton Road Fort Wayne IN 46809,41.0043067,-85.1686308,8605 Bluffton Road,,46809,Fort Wayne; 8605 Bluffton Road,,,,,,,,,,,,,,
33d6de5f-0aac-4073-a496-ee71ee74e116,False,Sidney,OH,True,True,True,store1148@unclejoescoffee.com,,,1124 West Michigan St Sidney OH 45365,40.2887149,-84.1720279,1124 West Michigan St,,45365,Sidney; 1124 West Michigan St,,,,,,,,,,,,,,
8c2a7c95-5d93-4068-9bd3-02cb25422c82,False,Medina,OH,True,True,True,store848@unclejoescoffee.com,,,5145 Buehlers Dr. Medina OH 44256,41.1352526,-81.8138388,5145 Buehlers Dr.,,44256,Medina; 5145 Buehlers Dr.,,,,,,,,,,,,,,
88f60de0-8b11-4611-806e-f1ab520dd4c3,False,Lathrup Village,MI,True,True,True,store1126@unclejoescoffee.com,,,26730 Southfield Rd. Lathrup Village MI 48076,,,26730 Southfield Rd.,,48076,Lathrup Village; 26730 Southfield Rd.,,,,,,,,,,,,,,
6ec768e5-a0cc-41a7-b54e-760ddde90761,True,Caro,MI,True,True,True,store1178@unclejoescoffee.com,,,3511 Mertz Rd. Caro MI 48723,,,3511 Mertz Rd.,,48723,Caro; 3511 Mertz Rd.,600,2100,600,2100,600,2100,600,2100,600,2100,600,2100,700,2100
73e8ca4e-a6c8-4f99-97f4-c03ca56f4d98,False,Lawrenceburg,KY,True,True,True,store1089@unclejoescoffee.com,,,1185 Glensboro Rd. Suite #5 Lawrenceburg KY 40342,,,1185 Glensboro Rd.,Suite #5,40342,"Lawrenceburg; 1185 Glensboro Rd., Suite #5",,,,,,,,,,,,,,
